URL,Page Type,Word Count,Structure Uniqueness %,JSON-LD,Canonical,AI-template signals (0-10),Doorway Risk
https://rybezh.site/,landing,355,100.0,Yes,Yes,0,Low
https://rybezh.site/vacancies.html,category,103,100.0,Yes,Yes,0,Low
https://rybezh.site/blog.html,category,959,100.0,Yes,Yes,0,Low
https://rybezh.site/about.html,landing,1303,100.0,Yes,Yes,0,Low
https://rybezh.site/apply.html,landing,59,100.0,Yes,Yes,0,Low
https://rybezh.site/contact.html,landing,240,100.0,No,Yes,2,Low
https://rybezh.site/company.html,landing,235,100.0,No,Yes,2,Low
https://rybezh.site/faq.html,landing,270,100.0,Yes,Yes,0,Low
https://rybezh.site/privacy.html,landing,1447,100.0,No,Yes,2,Low
https://rybezh.site/terms.html,landing,187,100.0,No,Yes,2,Low
https://rybezh.site/calculator.html,landing,394,100.0,Yes,Yes,0,Low
https://rybezh.site/cv-generator.html,landing,260,100.0,Yes,Yes,0,Low
https://rybezh.site/red-flag.html,landing,649,100.0,Yes,Yes,0,Low
https://rybezh.site/map.html,landing,308,100.0,Yes,Yes,0,Low
https://rybezh.site/proof.html,landing,84,100.0,No,Yes,2,Low
https://rybezh.site/krakow-hospitality-chef-open-kitchen-human-401.html,job,744,100.0,Yes,Yes,0,Low
https://rybezh.site/warsaw-hospitality-waiter-family-bistro-human-402.html,job,524,100.0,Yes,Yes,0,Low
https://rybezh.site/wroclaw-construction-general-worker-renovation-human-403.html,job,494,100.0,Yes,Yes,0,Low
https://rybezh.site/poznan-logistics-loader-crossdock-human-404.html,job,606,100.0,Yes,Yes,0,Low
https://rybezh.site/gdansk-production-night-baker-human-405.html,job,387,100.0,Yes,Yes,0,Low
https://rybezh.site/lodz-retail-barista-specialty-coffee-human-406.html,job,491,100.0,Yes,Yes,0,Low
https://rybezh.site/lodz-logistics-night-sorter-operator-unique-314.html,job,643,100.0,Yes,Yes,0,Low
https://rybezh.site/gdansk-food-production-quality-checker-unique-315.html,job,574,100.0,Yes,Yes,0,Low
https://rybezh.site/warsaw-logistics-kierowca-kurier-kat-b-1.html,job,789,100.0,Yes,Yes,1,Low
https://rybezh.site/krakow-logistics-kierowca-kurier-kat-b-2.html,job,614,100.0,Yes,Yes,0,Low
https://rybezh.site/wroclaw-logistics-kurier-auto-firmowe--3.html,job,752,100.0,Yes,Yes,1,Low
https://rybezh.site/poznan-logistics-dostawca-paczek-4.html,job,554,100.0,Yes,Yes,0,Low
https://rybezh.site/gdansk-logistics-dostawca-paczek-5.html,job,733,100.0,Yes,Yes,1,Low
https://rybezh.site/szczecin-logistics-kierowca-kurier-kat-b-6.html,job,639,100.0,Yes,Yes,0,Low
https://rybezh.site/lodz-logistics-kierowca-kurier-kat-b-7.html,job,752,100.0,Yes,Yes,0,Low
https://rybezh.site/katowice-logistics-kierowca-kurier-kat-b-8.html,job,649,100.0,Yes,Yes,0,Low
https://rybezh.site/lublin-logistics-kierowca-kurier-kat-b-9.html,job,713,100.0,Yes,Yes,0,Low
https://rybezh.site/bialystok-logistics-dostawca-paczek-10.html,job,610,100.0,Yes,Yes,0,Low
https://rybezh.site/rzeszow-logistics-kierowca-kurier-kat-b-11.html,job,593,100.0,Yes,Yes,0,Low
https://rybezh.site/sosnowiec-logistics-kurier-auto-firmowe--12.html,job,588,100.0,Yes,Yes,0,Low
https://rybezh.site/gdynia-logistics-kierowca-kurier-kat-b-13.html,job,516,100.0,Yes,Yes,0,Low
